instancia,alpha,tempMin,tempInicial,semilla,fo_inicial,fo_final,fines_semana_libres,iteraciones_sa
N10-8.txt,0.72,0.05,100000,2104,71,12,9,450000
N50-5.txt,0.72,0.05,100000,2104,1312,59,11,450000
N40-5.txt,0.72,0.05,100000,2104,149,22,31,450000
N20-2.txt,0.72,0.05,100000,2104,492,20,4,450000
N30-2.txt,0.72,0.05,100000,2104,771,27,6,450000
N40-8.txt,0.72,0.05,100000,2104,1021,68,8,450000
N50-9.txt,0.72,0.05,100000,2104,1290,57,13,450000
N40-7.txt,0.72,0.05,100000,2104,194,69,32,450000
N50-8.txt,0.72,0.05,100000,2104,1288,49,9,450000
N20-10.txt,0.72,0.05,100000,2104,469,23,2,450000
N20-1.txt,0.72,0.05,100000,2104,366,17,8,450000
N30-10.txt,0.72,0.05,100000,2104,378,35,15,450000
N30-8.txt,0.72,0.05,100000,2104,745,37,5,450000
N20-9.txt,0.72,0.05,100000,2104,139,33,11,450000
N10-10.txt,0.72,0.05,100000,2104,204,11,1,450000
N50-6.txt,0.72,0.05,100000,2104,299,73,35,450000
N40-6.txt,0.72,0.05,100000,2104,294,55,24,450000
N10-9.txt,0.72,0.05,100000,2104,200,9,3,450000
N50-7.txt,0.72,0.05,100000,2104,1287,49,10,450000
NPlus-1.txt,0.72,0.05,100000,2104,878,41,26,450000
N10-7.txt,0.72,0.05,100000,2104,158,13,6,450000
N40-4.txt,0.72,0.05,100000,2104,444,45,18,450000
NPlus-3.txt,0.72,0.05,100000,2104,1158,53,21,450000
NPlus-2.txt,0.72,0.05,100000,2104,1325,57,12,450000
N30-1.txt,0.72,0.05,100000,2104,205,12,22,450000
N10-6.txt,0.72,0.05,100000,2104,198,8,3,450000
N30-9.txt,0.72,0.05,100000,2104,746,33,8,450000
N20-3.txt,0.72,0.05,100000,2104,489,26,5,450000
N50-4.txt,0.72,0.05,100000,2104,1311,43,15,450000
N10-8.txt,0.67,0.05,100000,2105,71,13,9,370000
N50-5.txt,0.67,0.05,100000,2105,1312,45,13,370000
N40-5.txt,0.67,0.05,100000,2105,149,29,30,370000
N20-2.txt,0.67,0.05,100000,2105,492,21,5,370000
N30-2.txt,0.67,0.05,100000,2105,771,32,6,370000
N40-8.txt,0.67,0.05,100000,2105,1021,57,10,370000
N50-9.txt,0.67,0.05,100000,2105,1290,49,13,370000
N40-7.txt,0.67,0.05,100000,2105,194,60,34,370000
N50-8.txt,0.67,0.05,100000,2105,1288,50,12,370000
N20-10.txt,0.67,0.05,100000,2105,469,14,6,370000
N20-1.txt,0.67,0.05,100000,2105,366,22,6,370000
N30-10.txt,0.67,0.05,100000,2105,378,41,15,370000
N30-8.txt,0.67,0.05,100000,2105,745,44,8,370000
N20-9.txt,0.67,0.05,100000,2105,139,22,11,370000
N10-10.txt,0.67,0.05,100000,2105,204,8,3,370000
N50-6.txt,0.67,0.05,100000,2105,299,95,34,370000
N40-6.txt,0.67,0.05,100000,2105,294,51,26,370000
N10-9.txt,0.67,0.05,100000,2105,200,11,2,370000
N50-7.txt,0.67,0.05,100000,2105,1287,42,12,370000
NPlus-1.txt,0.67,0.05,100000,2105,878,56,27,370000
N10-7.txt,0.67,0.05,100000,2105,158,13,6,370000
N40-4.txt,0.67,0.05,100000,2105,444,31,22,370000
NPlus-3.txt,0.67,0.05,100000,2105,1158,59,20,370000
NPlus-2.txt,0.67,0.05,100000,2105,1325,54,10,370000
N30-1.txt,0.67,0.05,100000,2105,205,12,22,370000
N10-6.txt,0.67,0.05,100000,2105,198,9,2,370000
N30-9.txt,0.67,0.05,100000,2105,746,43,5,370000
N20-3.txt,0.67,0.05,100000,2105,489,21,4,370000
N50-4.txt,0.67,0.05,100000,2105,1311,42,14,370000
N10-8.txt,0.58,0.05,100000,2106,71,13,9,270000
N50-5.txt,0.58,0.05,100000,2106,1312,56,13,270000
N40-5.txt,0.58,0.05,100000,2106,149,22,31,270000
N20-2.txt,0.58,0.05,100000,2106,492,19,5,270000
N30-2.txt,0.58,0.05,100000,2106,771,23,8,270000
N40-8.txt,0.58,0.05,100000,2106,1021,68,10,270000
N50-9.txt,0.58,0.05,100000,2106,1290,52,14,270000
N40-7.txt,0.58,0.05,100000,2106,194,61,33,270000
N50-8.txt,0.58,0.05,100000,2106,1288,55,10,270000
N20-10.txt,0.58,0.05,100000,2106,469,19,5,270000
N20-1.txt,0.58,0.05,100000,2106,366,27,6,270000
N30-10.txt,0.58,0.05,100000,2106,378,43,16,270000
N30-8.txt,0.58,0.05,100000,2106,745,31,6,270000
N20-9.txt,0.58,0.05,100000,2106,139,37,10,270000
N10-10.txt,0.58,0.05,100000,2106,204,8,3,270000
N50-6.txt,0.58,0.05,100000,2106,299,106,35,270000
N40-6.txt,0.58,0.05,100000,2106,294,57,24,270000
N10-9.txt,0.58,0.05,100000,2106,200,7,3,270000
N50-7.txt,0.58,0.05,100000,2106,1287,58,11,270000
NPlus-1.txt,0.58,0.05,100000,2106,878,50,25,270000
N10-7.txt,0.58,0.05,100000,2106,158,11,6,270000
N40-4.txt,0.58,0.05,100000,2106,444,39,20,270000
NPlus-3.txt,0.58,0.05,100000,2106,1158,58,19,270000
NPlus-2.txt,0.58,0.05,100000,2106,1325,56,10,270000
N30-1.txt,0.58,0.05,100000,2106,205,15,21,270000
N10-6.txt,0.58,0.05,100000,2106,198,9,3,270000
N30-9.txt,0.58,0.05,100000,2106,746,40,6,270000
N20-3.txt,0.58,0.05,100000,2106,489,20,5,270000
N50-4.txt,0.58,0.05,100000,2106,1311,44,14,270000
N10-8.txt,0.49,0.05,100000,2107,71,18,8,210000
N50-5.txt,0.49,0.05,100000,2107,1312,57,12,210000
N40-5.txt,0.49,0.05,100000,2107,149,28,30,210000
N20-2.txt,0.49,0.05,100000,2107,492,25,4,210000
N30-2.txt,0.49,0.05,100000,2107,771,34,7,210000
N40-8.txt,0.49,0.05,100000,2107,1021,72,9,210000
N50-9.txt,0.49,0.05,100000,2107,1290,58,13,210000
N40-7.txt,0.49,0.05,100000,2107,194,83,34,210000
N50-8.txt,0.49,0.05,100000,2107,1288,52,13,210000
N20-10.txt,0.49,0.05,100000,2107,469,22,4,210000
N20-1.txt,0.49,0.05,100000,2107,366,23,6,210000
N30-10.txt,0.49,0.05,100000,2107,378,46,17,210000
N30-8.txt,0.49,0.05,100000,2107,745,45,7,210000
N20-9.txt,0.49,0.05,100000,2107,139,24,11,210000
N10-10.txt,0.49,0.05,100000,2107,204,10,3,210000
N50-6.txt,0.49,0.05,100000,2107,299,95,34,210000
N40-6.txt,0.49,0.05,100000,2107,294,60,25,210000
N10-9.txt,0.49,0.05,100000,2107,200,17,2,210000
N50-7.txt,0.49,0.05,100000,2107,1287,70,11,210000
NPlus-1.txt,0.49,0.05,100000,2107,878,51,26,210000
N10-7.txt,0.49,0.05,100000,2107,158,15,6,210000
N40-4.txt,0.49,0.05,100000,2107,444,43,21,210000
NPlus-3.txt,0.49,0.05,100000,2107,1158,63,19,210000
NPlus-2.txt,0.49,0.05,100000,2107,1325,61,11,210000
N30-1.txt,0.49,0.05,100000,2107,205,31,20,210000
N10-6.txt,0.49,0.05,100000,2107,198,9,3,210000
N30-9.txt,0.49,0.05,100000,2107,746,47,7,210000
N20-3.txt,0.49,0.05,100000,2107,489,24,3,210000
N50-4.txt,0.49,0.05,100000,2107,1311,42,14,210000
N10-8.txt,0.83,0.05,100000,2108,71,14,9,780000
N50-5.txt,0.83,0.05,100000,2108,1312,46,13,780000
N40-5.txt,0.83,0.05,100000,2108,149,23,32,780000
N20-2.txt,0.83,0.05,100000,2108,492,18,5,780000
N30-2.txt,0.83,0.05,100000,2108,771,24,6,780000
N40-8.txt,0.83,0.05,100000,2108,1021,66,8,780000
N50-9.txt,0.83,0.05,100000,2108,1290,52,11,780000
N40-7.txt,0.83,0.05,100000,2108,194,60,34,780000
N50-8.txt,0.83,0.05,100000,2108,1288,52,12,780000
N20-10.txt,0.83,0.05,100000,2108,469,22,4,780000
N20-1.txt,0.83,0.05,100000,2108,366,21,7,780000
N30-10.txt,0.83,0.05,100000,2108,378,50,17,780000
N30-8.txt,0.83,0.05,100000,2108,745,31,7,780000
N20-9.txt,0.83,0.05,100000,2108,139,19,10,780000
N10-10.txt,0.83,0.05,100000,2108,204,8,3,780000
N50-6.txt,0.83,0.05,100000,2108,299,94,35,780000
N40-6.txt,0.83,0.05,100000,2108,294,48,24,780000
N10-9.txt,0.83,0.05,100000,2108,200,8,3,780000
N50-7.txt,0.83,0.05,100000,2108,1287,42,12,780000
NPlus-1.txt,0.83,0.05,100000,2108,878,51,25,780000
